,time,open,high,low,close,volume,MA50,MA200,sup,Buy_signal,Sell_signal
643,2015-08-11,32770,32770,32189,32479,256740,34938.36,41140.985,34373.85049,0,0
644,2015-08-12,32189,32479,31920,32189,204700,34875.94,41022.18,34062.80042,0,0
645,2015-08-13,31920,32189,31350,31630,277450,34808.14,40881.33,33726.18607,0,0
646,2015-08-14,31350,31630,29650,29650,903090,34678.14,40733.33,33165.73092,0,0
647,2015-08-17,29370,29930,27620,27850,900380,34517.74,40584.58,31929.91222,0,0
648,2015-08-18,27390,27970,27390,27970,698260,34370.94,40439.13,30632.7819,0,0
649,2015-08-19,27680,27850,27280,27620,306450,34205.94,40291.93,30391.6702,0,0
650,2015-08-20,27570,27570,25710,25710,1150130,33974.54,40135.18,29881.4316,0,0
651,2015-08-21,25420,25420,23950,24230,1068610,33713.54,39965.58,28217.65566,0,0
652,2015-08-24,24230,24230,22530,22530,952520,33429.74,39792.93,27136.56199,0,0
653,2015-08-25,21180,22820,21180,21920,1357700,33150.74,39611.78,25922.76742,0,0
654,2015-08-26,22200,23440,22200,23440,656020,32907.74,39440.98,25922.76742,0,0
655,2015-08-27,24460,25070,24290,25070,675850,32697.34,39281.03,25922.76742,0,0
656,2015-08-28,26830,26830,26770,26830,1277900,32522.14,39129.88,22498.02401,1,0
657,2015-08-31,28240,28520,27680,27680,1940210,32358.34,38982.98,23688.3063,0,0
658,2015-09-01,28240,28240,26880,26880,773620,32178.54,38829.38,23688.3063,0,0
659,2015-09-03,26100,26830,25710,25820,725570,31977.54,38673.18,23688.3063,0,0
660,2015-09-04,25980,26770,25870,25930,414800,31789.94,38509.33,23688.3063,0,0
661,2015-09-07,25930,26320,25650,25870,308390,31606.94,38347.93,23688.3063,0,0
662,2015-09-08,25870,26210,25760,26210,339710,31419.34,38188.23,23688.3063,0,0
663,2015-09-09,26610,27060,26430,26550,347260,31249.94,38035.68,23688.3063,0,0
664,2015-09-10,26270,26550,26040,26210,266120,31073.74,37881.43,23688.3063,0,0
665,2015-09-11,26430,26720,26210,26270,373110,30887.34,37730.23,23688.3063,0,0
666,2015-09-14,26270,26270,25420,25710,310540,30684.14,37581.73,23688.3063,0,0
667,2015-09-15,25420,26160,25420,25870,208430,30467.14,37431.33,23688.3063,0,0
668,2015-09-16,26100,26270,25870,26040,241750,30253.54,37288.63,23688.3063,0,0
669,2015-09-17,26720,27620,26660,27450,988040,30085.14,37154.33,24330.95559,0,0
670,2015-09-18,27680,27850,26940,27110,801110,29915.54,37019.68,24597.24765,0,0
671,2015-09-21,27000,27220,26660,27000,343530,29749.34,36896.83,24597.24765,0,0
672,2015-09-22,27000,27330,26830,26830,440350,29568.54,36781.38,24604.50848,0,0
673,2015-09-23,26830,27220,26770,27170,308250,29400.14,36681.38,24680.29298,0,0
674,2015-09-24,27000,27110,26770,26830,327170,29230.54,36582.38,24784.53684,0,0
675,2015-09-25,26830,27060,26830,26830,245050,29066.74,36480.68,24998.88872,0,0
676,2015-09-28,27060,27060,26160,26160,498980,28889.54,36371.48,24998.88872,0,0
677,2015-09-29,25980,25980,25420,25820,419360,28728.14,36260.58,24998.88872,0,0
678,2015-09-30,26040,26160,25820,25870,334210,28579.14,36152.68,24998.88872,0,0
679,2015-10-01,26450,26970,26390,26390,326600,28434.74,36062.48,24998.88872,0,0
680,2015-10-02,26390,26450,26110,26270,266540,28265.34,35986.73,24998.88872,0,0
681,2015-10-05,26390,26510,26220,26450,389040,28105.14,35915.98,24998.88872,0,0
682,2015-10-06,26800,26970,26670,26740,677180,27956.54,35854.93,25046.81872,0,0
683,2015-10-07,27430,28010,27370,27430,1225250,27827.34,35797.33,25625.84462,0,0
684,2015-10-08,27430,27550,27140,27490,483920,27710.74,35741.43,25625.84462,0,0
685,2015-10-09,27830,28420,27720,27890,938020,27596.34,35700.13,26004.29401,0,0
686,2015-10-12,27890,28070,27720,28010,994980,27490.14,35666.48,26004.29401,0,0
687,2015-10-13,27550,27660,27370,27430,706460,27383.34,35618.68,26004.29401,0,0
688,2015-10-14,27090,27430,26910,27140,629420,27270.74,35563.83,26004.29401,0,0
689,2015-10-15,26970,27320,26970,27320,179650,27156.14,35498.68,26004.29401,0,0
690,2015-10-16,27430,27660,27370,27370,177430,27048.14,35439.38,26004.29401,0,0
691,2015-10-19,27430,27430,27200,27260,273490,26937.94,35376.78,26004.29401,0,0
692,2015-10-20,27140,27260,26910,27090,516990,26830.16,35321.68,26004.29401,0,0
693,2015-10-21,27140,27140,26910,26970,279680,26719.98,35258.93,26004.29401,0,0
694,2015-10-22,26970,27090,26860,26970,263400,26615.6,35197.63,26004.29401,0,0
695,2015-10-23,26970,27320,26970,27200,333250,26527,35137.48,26004.29401,0,0
696,2015-10-26,27140,27430,27020,27020,363720,26474.4,35074.98,26006.32405,0,0
697,2015-10-27,26740,26970,26570,26670,560610,26450.8,35014.98,26006.32405,0,0
698,2015-10-28,26670,26860,26620,26740,430180,26426.2,34958.13,26006.32405,0,0
699,2015-10-29,27140,27260,26860,26970,460190,26413.2,34899.63,26006.32405,0,0
700,2015-10-30,27020,27200,26910,27020,379850,26439.4,34839.98,26006.32405,0,0
701,2015-11-02,27020,27260,26970,26970,462000,26494.2,34767.48,26006.32405,0,0
702,2015-11-03,27090,27090,26910,26970,335730,26583,34680.98,26006.32405,0,0
703,2015-11-04,27260,27890,27140,27430,1370410,26693.2,34592.58,26226.40189,0,0
704,2015-11-05,27600,27890,27260,27720,1323090,26778.8,34514.03,26226.40189,0,0
705,2015-11-06,27660,27660,27370,27430,410780,26826,34431.23,26226.40189,0,0
706,2015-11-09,27320,27430,27090,27140,425340,26832.2,34349.78,26226.40189,0,0
707,2015-11-10,27020,27020,26390,26570,789700,26810,34268.28,26226.40189,0,0
708,2015-11-11,26330,26510,26220,26450,653260,26801.4,34183.38,26226.40189,0,0
709,2015-11-12,26330,26330,25640,25870,1035900,26802.4,34095.58,27505.53195,0,1
